,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
28,34.0,73.0,38.0,32.0,33.0,34.0,42.0,49.0,56.0,25.0,23.0,31.0,34.0,46.0,48.0,12.0,17.0,20.0,27.0,33.0,38.0,45.0,8.0,18.0,22.0,30.0,50.0,2.0,27.0,65.0,42.0,29.0,27.0,19.0,24.0,24.0,29.0,15.0,34.0,41.0,12.0
29,28.0,63.0,32.0,27.0,27.0,28.0,36.0,49.0,55.0,20.0,18.0,26.0,30.0,46.0,47.0,3.0,12.0,15.0,21.0,31.0,37.0,45.0,9.0,21.0,22.0,30.0,49.0,14.0,28.0,56.0,41.0,24.0,28.0,14.0,19.0,18.0,24.0,10.0,28.0,36.0,3.0
30,28.0,66.0,32.0,26.0,27.0,28.0,36.0,48.0,55.0,19.0,17.0,25.0,29.0,45.0,47.0,1.0,11.0,14.0,21.0,30.0,37.0,44.0,6.0,20.0,22.0,30.0,49.0,12.0,28.0,58.0,41.0,24.0,27.0,13.0,19.0,18.0,23.0,9.0,28.0,36.0,0.0
31,28.0,65.0,32.0,27.0,28.0,29.0,36.0,49.0,55.0,20.0,18.0,26.0,30.0,46.0,48.0,1.0,12.0,15.0,22.0,31.0,37.0,45.0,5.0,21.0,22.0,31.0,50.0,11.0,28.0,57.0,41.0,24.0,28.0,14.0,19.0,18.0,24.0,10.0,28.0,36.0,1.0
32,30.0,65.0,34.0,29.0,29.0,30.0,38.0,50.0,57.0,22.0,20.0,28.0,32.0,47.0,49.0,3.0,14.0,17.0,23.0,33.0,39.0,47.0,3.0,23.0,24.0,32.0,51.0,9.0,30.0,57.0,43.0,26.0,30.0,15.0,21.0,20.0,26.0,12.0,30.0,38.0,3.0
33,31.0,66.0,35.0,29.0,30.0,31.0,39.0,51.0,58.0,22.0,20.0,28.0,32.0,48.0,50.0,4.0,14.0,18.0,24.0,33.0,40.0,47.0,3.0,23.0,25.0,33.0,52.0,9.0,31.0,58.0,44.0,27.0,30.0,16.0,22.0,21.0,27.0,12.0,31.0,39.0,3.0
34,32.0,67.0,36.0,31.0,31.0,32.0,40.0,52.0,59.0,24.0,22.0,30.0,34.0,49.0,51.0,5.0,16.0,19.0,25.0,35.0,41.0,48.0,1.0,21.0,25.0,33.0,53.0,7.0,31.0,59.0,45.0,28.0,30.0,17.0,23.0,22.0,28.0,14.0,32.0,40.0,5.0
35,33.0,68.0,37.0,32.0,32.0,33.0,41.0,51.0,58.0,25.0,23.0,31.0,35.0,48.0,50.0,6.0,17.0,20.0,26.0,35.0,40.0,47.0,0.0,20.0,24.0,32.0,52.0,6.0,30.0,60.0,44.0,29.0,29.0,18.0,24.0,23.0,29.0,15.0,33.0,41.0,6.0
36,34.0,69.0,38.0,32.0,33.0,34.0,42.0,50.0,57.0,25.0,23.0,31.0,35.0,47.0,49.0,7.0,17.0,21.0,27.0,34.0,39.0,47.0,0.0,19.0,23.0,31.0,51.0,5.0,29.0,61.0,43.0,30.0,28.0,19.0,25.0,24.0,30.0,15.0,34.0,42.0,6.0
37,34.0,69.0,38.0,32.0,33.0,34.0,42.0,50.0,57.0,25.0,24.0,32.0,35.0,47.0,49.0,7.0,17.0,21.0,27.0,34.0,39.0,47.0,1.0,19.0,23.0,31.0,51.0,5.0,29.0,61.0,43.0,30.0,28.0,19.0,25.0,24.0,30.0,16.0,34.0,42.0,7.0
38,34.0,70.0,38.0,32.0,33.0,34.0,42.0,49.0,56.0,25.0,23.0,31.0,34.0,46.0,48.0,8.0,17.0,20.0,27.0,33.0,38.0,45.0,2.0,18.0,22.0,30.0,50.0,4.0,28.0,62.0,42.0,29.0,27.0,19.0,24.0,24.0,29.0,15.0,34.0,41.0,8.0
39,33.0,73.0,37.0,32.0,32.0,33.0,41.0,49.0,55.0,25.0,23.0,31.0,34.0,46.0,48.0,13.0,17.0,20.0,26.0,32.0,37.0,45.0,7.0,18.0,22.0,29.0,50.0,2.0,27.0,66.0,41.0,29.0,27.0,19.0,24.0,23.0,29.0,15.0,33.0,41.0,13.0
40,33.0,73.0,37.0,31.0,32.0,33.0,41.0,48.0,55.0,24.0,22.0,30.0,33.0,45.0,47.0,13.0,16.0,19.0,26.0,32.0,37.0,44.0,7.0,17.0,21.0,29.0,49.0,1.0,27.0,66.0,41.0,29.0,26.0,18.0,24.0,23.0,28.0,14.0,33.0,40.0,12.0
41,32.0,72.0,36.0,31.0,31.0,32.0,40.0,48.0,54.0,24.0,22.0,30.0,33.0,45.0,47.0,12.0,16.0,19.0,25.0,31.0,36.0,44.0,6.0,17.0,21.0,28.0,49.0,1.0,26.0,64.0,40.0,28.0,25.0,17.0,23.0,22.0,28.0,14.0,32.0,40.0,11.0
42,32.0,72.0,36.0,30.0,31.0,32.0,40.0,47.0,54.0,23.0,21.0,29.0,33.0,44.0,46.0,12.0,15.0,19.0,25.0,31.0,36.0,44.0,6.0,16.0,20.0,28.0,48.0,1.0,26.0,65.0,40.0,28.0,25.0,17.0,23.0,22.0,28.0,13.0,32.0,40.0,11.0
43,32.0,76.0,36.0,30.0,31.0,32.0,40.0,47.0,53.0,23.0,21.0,29.0,32.0,44.0,46.0,14.0,15.0,18.0,25.0,31.0,36.0,43.0,8.0,16.0,20.0,28.0,48.0,4.0,25.0,68.0,40.0,27.0,25.0,17.0,22.0,22.0,27.0,13.0,32.0,39.0,14.0
44,27.0,64.0,31.0,26.0,26.0,28.0,35.0,48.0,54.0,19.0,17.0,25.0,29.0,45.0,47.0,2.0,11.0,14.0,21.0,30.0,36.0,44.0,8.0,20.0,21.0,30.0,49.0,13.0,27.0,57.0,40.0,23.0,27.0,13.0,18.0,17.0,23.0,9.0,27.0,35.0,2.0
45,26.0,65.0,31.0,25.0,26.0,27.0,35.0,47.0,53.0,18.0,16.0,24.0,28.0,44.0,46.0,1.0,10.0,13.0,20.0,29.0,36.0,43.0,7.0,19.0,21.0,29.0,48.0,13.0,26.0,57.0,40.0,22.0,26.0,12.0,17.0,17.0,22.0,8.0,26.0,34.0,1.0
46,27.0,66.0,31.0,26.0,27.0,28.0,35.0,48.0,54.0,19.0,17.0,25.0,29.0,45.0,47.0,0.0,11.0,14.0,21.0,30.0,36.0,44.0,6.0,20.0,21.0,30.0,49.0,12.0,27.0,58.0,40.0,23.0,27.0,13.0,18.0,17.0,23.0,9.0,27.0,35.0,0.0
47,28.0,65.0,32.0,26.0,27.0,28.0,36.0,48.0,55.0,19.0,17.0,25.0,29.0,45.0,47.0,1.0,11.0,15.0,21.0,30.0,37.0,44.0,6.0,21.0,22.0,30.0,49.0,11.0,28.0,58.0,41.0,24.0,27.0,13.0,19.0,18.0,23.0,9.0,28.0,36.0,0.0
48,31.0,66.0,35.0,29.0,30.0,31.0,39.0,51.0,58.0,22.0,21.0,29.0,32.0,48.0,50.0,4.0,14.0,18.0,24.0,34.0,40.0,48.0,2.0,22.0,25.0,33.0,52.0,8.0,31.0,58.0,44.0,27.0,31.0,16.0,22.0,21.0,27.0,13.0,31.0,39.0,4.0
49,31.0,66.0,35.0,30.0,30.0,31.0,39.0,51.0,58.0,23.0,21.0,29.0,33.0,48.0,50.0,4.0,14.0,18.0,24.0,34.0,40.0,48.0,2.0,22.0,25.0,33.0,52.0,8.0,31.0,58.0,44.0,27.0,31.0,16.0,22.0,21.0,27.0,13.0,31.0,39.0,4.0
50,32.0,67.0,36.0,30.0,31.0,32.0,40.0,52.0,59.0,23.0,22.0,30.0,33.0,49.0,51.0,5.0,15.0,19.0,25.0,35.0,41.0,49.0,1.0,21.0,25.0,33.0,53.0,7.0,31.0,59.0,45.0,28.0,30.0,17.0,23.0,22.0,28.0,13.0,32.0,40.0,4.0
51,33.0,68.0,38.0,32.0,33.0,34.0,42.0,51.0,57.0,25.0,23.0,31.0,35.0,48.0,50.0,7.0,17.0,20.0,27.0,34.0,40.0,47.0,0.0,20.0,24.0,31.0,52.0,6.0,29.0,61.0,44.0,29.0,29.0,19.0,24.0,24.0,29.0,15.0,34.0,41.0,6.0
52,34.0,69.0,38.0,33.0,33.0,34.0,42.0,50.0,57.0,26.0,24.0,32.0,35.0,47.0,49.0,7.0,18.0,21.0,27.0,34.0,39.0,46.0,1.0,19.0,23.0,31.0,51.0,5.0,29.0,61.0,43.0,30.0,28.0,20.0,25.0,24.0,30.0,16.0,34.0,42.0,7.0
53,34.0,70.0,38.0,32.0,33.0,34.0,42.0,49.0,56.0,25.0,23.0,31.0,35.0,46.0,48.0,8.0,17.0,21.0,27.0,33.0,38.0,46.0,1.0,19.0,22.0,30.0,50.0,4.0,28.0,62.0,42.0,30.0,27.0,19.0,25.0,24.0,30.0,15.0,34.0,42.0,7.0
54,33.0,70.0,37.0,32.0,32.0,34.0,41.0,49.0,55.0,25.0,23.0,31.0,34.0,46.0,48.0,9.0,17.0,20.0,27.0,32.0,38.0,45.0,2.0,18.0,22.0,29.0,50.0,4.0,27.0,63.0,42.0,29.0,27.0,19.0,24.0,23.0,29.0,15.0,33.0,41.0,8.0
55,33.0,71.0,37.0,31.0,32.0,33.0,41.0,48.0,55.0,24.0,22.0,30.0,33.0,45.0,47.0,9.0,16.0,19.0,26.0,32.0,37.0,44.0,3.0,17.0,21.0,29.0,49.0,3.0,27.0,63.0,41.0,28.0,26.0,18.0,23.0,23.0,28.0,14.0,33.0,40.0,9.0
56,32.0,73.0,36.0,31.0,31.0,33.0,40.0,48.0,54.0,24.0,22.0,30.0,33.0,45.0,47.0,12.0,16.0,19.0,26.0,31.0,37.0,44.0,6.0,17.0,21.0,28.0,49.0,1.0,26.0,65.0,41.0,28.0,26.0,18.0,23.0,22.0,28.0,14.0,32.0,40.0,12.0
57,32.0,72.0,36.0,30.0,31.0,32.0,40.0,47.0,54.0,23.0,21.0,29.0,32.0,44.0,46.0,12.0,15.0,18.0,25.0,31.0,36.0,43.0,6.0,16.0,20.0,28.0,48.0,0.0,25.0,65.0,40.0,27.0,25.0,17.0,22.0,22.0,27.0,13.0,32.0,39.0,12.0
58,32.0,73.0,36.0,30.0,31.0,32.0,40.0,47.0,54.0,23.0,21.0,29.0,32.0,44.0,46.0,12.0,15.0,18.0,25.0,31.0,36.0,43.0,6.0,16.0,20.0,28.0,48.0,0.0,26.0,65.0,40.0,28.0,25.0,17.0,23.0,22.0,27.0,13.0,32.0,40.0,12.0
