Pop_Lat,Pop_Lon,Population,Hosp_Lat,Hosp_Lon,Hosp_Name,Distance_KM
-8.68791641766453,125.42791617873333,72,-8.7580191,125.2056292,Asulao-Sare,58
-8.68791641766453,125.43624951203333,69,-8.7580191,125.2056292,Asulao-Sare,58
-8.68791641766453,125.44458284533333,78,-8.7580191,125.2056292,Asulao-Sare,60
-8.68791641766453,125.45291617863333,69,-8.7580191,125.2056292,Asulao-Sare,60
-8.68791641766453,125.46124951193333,59,-8.7580191,125.2056292,Asulao-Sare,61
-8.68791641766453,125.46958284523333,48,-8.7580191,125.2056292,Asulao-Sare,62
-8.68791641766453,125.47791617853333,49,-8.7580191,125.2056292,Asulao-Sare,62
-8.68791641766453,125.48624951183334,70,-8.7580191,125.2056292,Asulao-Sare,63
-8.68791641766453,125.49458284513334,83,-8.7580191,125.2056292,Asulao-Sare,64
-8.68791641766453,125.50291617843334,94,-8.7580191,125.2056292,Asulao-Sare,64
